[SERVER] Radi na http://localhost:8080
[INFO] 2026-06-10T14:04:43.298Z | filteri: flip_vertical | vreme: 278ms
[INFO] 2026-06-10T14:04:43.681Z | filteri: flip_vertical | vreme: 280ms
[INFO] 2026-06-10T14:04:44.111Z | filteri: flip_vertical | vreme: 281ms
[INFO] 2026-06-10T14:04:44.511Z | filteri: flip_vertical | vreme: 298ms
[INFO] 2026-06-10T14:04:44.933Z | filteri: flip_vertical | vreme: 263ms
[INFO] 2026-06-10T14:04:45.331Z | filteri: flip_vertical | vreme: 284ms
[INFO] 2026-06-10T14:04:45.771Z | filteri: flip_vertical | vreme: 251ms
[INFO] 2026-06-10T14:04:46.127Z | filteri: jarvis | vreme: 326ms
[INFO] 2026-06-10T14:04:46.569Z | filteri: jarvis | vreme: 333ms
[INFO] 2026-06-10T14:04:47.040Z | filteri: jarvis | vreme: 298ms
[INFO] 2026-06-10T14:04:47.474Z | filteri: jarvis | vreme: 300ms
[INFO] 2026-06-10T14:04:47.894Z | filteri: jarvis | vreme: 305ms
[INFO] 2026-06-10T14:04:48.325Z | filteri: jarvis | vreme: 312ms
[INFO] 2026-06-10T14:04:48.741Z | filteri: jarvis | vreme: 302ms
[INFO] 2026-06-10T14:04:49.167Z | filteri: jarvis | vreme: 326ms
[INFO] 2026-06-10T14:04:49.611Z | filteri: jarvis | vreme: 332ms
[INFO] 2026-06-10T14:04:50.074Z | filteri: jarvis | vreme: 311ms
[SERVER] Radi na http://localhost:8080
[INFO] 2026-06-10T14:13:26.651Z | filteri: grayscale | vreme: 298ms
[INFO] 2026-06-10T14:13:27.077Z | filteri: grayscale | vreme: 300ms
[INFO] 2026-06-10T14:13:27.523Z | filteri: grayscale | vreme: 243ms
[INFO] 2026-06-10T14:13:27.905Z | filteri: grayscale | vreme: 262ms
[INFO] 2026-06-10T14:13:28.301Z | filteri: grayscale | vreme: 258ms
[INFO] 2026-06-10T14:13:28.680Z | filteri: grayscale | vreme: 266ms
[INFO] 2026-06-10T14:13:29.062Z | filteri: grayscale | vreme: 286ms
[INFO] 2026-06-10T14:13:29.470Z | filteri: grayscale | vreme: 256ms
[INFO] 2026-06-10T14:13:29.870Z | filteri: grayscale | vreme: 320ms
[INFO] 2026-06-10T14:13:30.341Z | filteri: grayscale | vreme: 296ms
[INFO] 2026-06-10T14:13:30.773Z | filteri: contrast | vreme: 300ms
[INFO] 2026-06-10T14:13:31.195Z | filteri: contrast | vreme: 277ms
[INFO] 2026-06-10T14:13:31.603Z | filteri: contrast | vreme: 263ms
[INFO] 2026-06-10T14:13:31.998Z | filteri: contrast | vreme: 328ms
[INFO] 2026-06-10T14:13:32.454Z | filteri: contrast | vreme: 249ms
[INFO] 2026-06-10T14:13:32.831Z | filteri: contrast | vreme: 302ms
[INFO] 2026-06-10T14:13:33.259Z | filteri: contrast | vreme: 264ms
[INFO] 2026-06-10T14:13:33.651Z | filteri: contrast | vreme: 313ms
[INFO] 2026-06-10T14:13:34.099Z | filteri: contrast | vreme: 263ms
[INFO] 2026-06-10T14:13:34.494Z | filteri: contrast | vreme: 269ms
[INFO] 2026-06-10T14:13:34.886Z | filteri: flip | vreme: 261ms
[INFO] 2026-06-10T14:13:35.289Z | filteri: flip | vreme: 276ms
[INFO] 2026-06-10T14:13:35.699Z | filteri: flip | vreme: 271ms
[INFO] 2026-06-10T14:13:36.110Z | filteri: flip | vreme: 312ms
[INFO] 2026-06-10T14:13:36.548Z | filteri: flip | vreme: 301ms
[INFO] 2026-06-10T14:13:36.972Z | filteri: flip | vreme: 256ms
[INFO] 2026-06-10T14:13:37.342Z | filteri: flip | vreme: 290ms
[INFO] 2026-06-10T14:13:37.763Z | filteri: flip | vreme: 267ms
[INFO] 2026-06-10T14:13:38.154Z | filteri: flip | vreme: 321ms
[INFO] 2026-06-10T14:13:38.620Z | filteri: flip | vreme: 473ms
[INFO] 2026-06-10T14:13:39.329Z | filteri: laplacian | vreme: 509ms
[INFO] 2026-06-10T14:13:40.067Z | filteri: laplacian | vreme: 463ms
[INFO] 2026-06-10T14:13:40.801Z | filteri: laplacian | vreme: 499ms
[INFO] 2026-06-10T14:13:41.507Z | filteri: laplacian | vreme: 553ms
[INFO] 2026-06-10T14:13:42.283Z | filteri: laplacian | vreme: 542ms
[INFO] 2026-06-10T14:13:43.053Z | filteri: laplacian | vreme: 528ms
[INFO] 2026-06-10T14:13:43.875Z | filteri: laplacian | vreme: 533ms
[INFO] 2026-06-10T14:13:44.617Z | filteri: laplacian | vreme: 573ms
[INFO] 2026-06-10T14:13:45.425Z | filteri: laplacian | vreme: 502ms
[INFO] 2026-06-10T14:13:46.117Z | filteri: laplacian | vreme: 480ms
[INFO] 2026-06-10T14:13:46.817Z | filteri: swirl | vreme: 577ms
[INFO] 2026-06-10T14:13:47.698Z | filteri: swirl | vreme: 568ms
[INFO] 2026-06-10T14:13:48.495Z | filteri: swirl | vreme: 648ms
[INFO] 2026-06-10T14:13:49.356Z | filteri: swirl | vreme: 631ms
[INFO] 2026-06-10T14:13:50.276Z | filteri: swirl | vreme: 616ms
[INFO] 2026-06-10T14:13:51.164Z | filteri: swirl | vreme: 550ms
[INFO] 2026-06-10T14:13:51.942Z | filteri: swirl | vreme: 588ms
[INFO] 2026-06-10T14:13:52.762Z | filteri: swirl | vreme: 565ms
[INFO] 2026-06-10T14:13:53.555Z | filteri: swirl | vreme: 616ms
[INFO] 2026-06-10T14:13:54.425Z | filteri: swirl | vreme: 615ms
[INFO] 2026-06-10T14:13:55.271Z | filteri: colorizegrayscale | vreme: 502ms
[INFO] 2026-06-10T14:13:56.052Z | filteri: colorizegrayscale | vreme: 511ms
[INFO] 2026-06-10T14:13:56.844Z | filteri: colorizegrayscale | vreme: 610ms
[INFO] 2026-06-10T14:13:57.711Z | filteri: colorizegrayscale | vreme: 547ms
[INFO] 2026-06-10T14:13:58.489Z | filteri: colorizegrayscale | vreme: 644ms
[INFO] 2026-06-10T14:13:59.359Z | filteri: colorizegrayscale | vreme: 501ms
[INFO] 2026-06-10T14:14:00.101Z | filteri: colorizegrayscale | vreme: 556ms
[INFO] 2026-06-10T14:14:00.897Z | filteri: colorizegrayscale | vreme: 529ms
[INFO] 2026-06-10T14:14:01.653Z | filteri: colorizegrayscale | vreme: 547ms
[INFO] 2026-06-10T14:14:02.437Z | filteri: colorizegrayscale | vreme: 566ms
